@RELATION tsla_45

@ATTRIBUTE sma_9 REAL
@ATTRIBUTE sma_22 REAL
@ATTRIBUTE sma_55 REAL
@ATTRIBUTE sma_200 REAL
@ATTRIBUTE MACD_12_26_9 REAL
@ATTRIBUTE MACD_20_80_2 REAL
@ATTRIBUTE MACD_40_80_2 REAL
@ATTRIBUTE MACD_1_68_2 REAL
@ATTRIBUTE MACD_21_81_2 REAL
@ATTRIBUTE rsi_7 REAL
@ATTRIBUTE rsi_14 REAL
@ATTRIBUTE rsi_21 REAL
@ATTRIBUTE rsi_44 REAL
@ATTRIBUTE cci_44 REAL
@ATTRIBUTE adx_44 REAL
@ATTRIBUTE wma_22 REAL
@ATTRIBUTE wma_220 REAL
@ATTRIBUTE vwap REAL
@ATTRIBUTE ema_9 REAL
@ATTRIBUTE ema_22 REAL
@ATTRIBUTE ema_55 REAL
@ATTRIBUTE ema_200 REAL
@ATTRIBUTE trix_10 REAL
@ATTRIBUTE trix_40 REAL
@ATTRIBUTE class {1,0}

@DATA
776.123956,771.887141,752.923907,749.661213,8.345129,17.157866,8.335982,47.430559,16.732531,74.780192,68.638898,65.504982,59.828279,218.886057,10.610127,773.740105,750.365411,748.510065,781.420169,771.858547,759.862782,751.893204,0.101474,0.04462,1
780.638733,773.143455,754.315291,749.915078,9.230891,18.4372,8.924174,38.513891,17.96602,65.993119,63.575917,61.930016,58.05505,181.038915,10.706882,775.92931,750.801178,749.415019,784.548736,774.050238,761.191361,752.342655,0.140133,0.047245,1
782.878344,773.9815,755.533893,750.13804,9.330992,19.090594,9.311542,31.449208,18.612699,59.672752,59.845582,59.25785,56.699505,208.258382,10.987229,777.476583,751.179397,750.179368,785.826408,775.518661,762.253709,752.726679,0.167232,0.049896,1
788.4064,776.460027,757.350765,750.52743,11.959127,21.971152,10.461758,62.867953,21.359752,74.715003,70.071771,67.293397,61.673926,308.669347,11.376611,781.846236,751.856979,751.814442,793.507627,779.754647,764.467237,753.43818,0.210611,0.053063,1
793.965133,778.342373,759.00444,750.872899,13.272389,23.922313,11.332188,53.626269,23.240538,68.057066,65.942536,64.246989,60.054666,196.73836,11.439602,785.335938,752.462266,754.819047,798.124421,782.95786,766.328822,754.066572,0.251683,0.056525,1
808.507322,783.151341,761.890351,751.577099,19.824905,30.606389,13.839727,121.148302,29.589155,83.603569,78.550894,75.198192,68.043649,450.150931,11.915227,794.847905,753.7084,757.309825,816.045537,792.068481,770.664578,755.396556,0.341578,0.061316,1
820.588956,787.26695,764.612318,752.212217,23.600608,35.431406,15.807515,103.856313,34.210226,75.253156,72.790926,70.673955,65.375951,403.337853,12.611683,802.707632,754.820093,759.980571,827.54407,799.152805,774.338636,756.572095,0.436529,0.066985,1
838.3536,795.497277,768.832104,753.241617,32.716409,45.289162,19.55472,179.072661,43.591762,84.983599,81.183066,78.401697,71.795674,460.981694,13.332314,817.214854,756.655385,761.283557,852.855256,812.626474,780.758685,758.537547,0.584794,0.074611,0
856.687011,804.392505,773.264844,754.298399,40.048829,54.379473,23.177658,180.738191,52.285428,85.5526,81.712717,78.911918,72.256752,371.039399,14.03618,831.620369,758.545731,762.00093,874.516345,825.542493,787.201614,760.553698,0.749256,0.083961,0
874.039222,813.464773,777.7042,755.3561,45.324378,62.261743,26.506986,175.343263,59.869368,85.468309,81.656634,78.867467,72.22925,305.163387,14.685115,845.238403,760.425558,762.876273,891.813056,837.321398,793.408695,762.548187,0.901281,0.094709,0
