date,sma_9,sma_22,sma_55,sma_200,MACD_12_26_9,MACD_20_80_2,MACD_40_80_2,MACD_1_68_2,MACD_21_81_2,rsi_7,rsi_14,rsi_21,rsi_44,cci_44,adx_44,wma_22,wma_220,vwap,ema_9,ema_22,ema_55,ema_200,trix_10,trix_40,etiqueta
2020-01-23 10:40:00,572.5249222222219,570.9287454545438,568.3442309090918,561.6860209999999,1.1734113241710702,3.142127698793388,1.7873643465516125,3.8682276899352246,3.0947056082259223,53.627606883022466,54.86221976065151,54.80193622169401,54.184871361886174,90.31657557206069,12.085604451342457,571.8171035573123,564.4545877910325,725.8550073675821,571.8176590009373,570.8098573691374,568.9076699017569,567.4859461928755,0.038743300356602894,0.012401192789113225,1
2020-01-23 10:35:00,572.3008777777774,571.2250772727256,568.3681472727283,561.7433174999999,1.1673847430788555,3.184284133430424,1.8167537365566204,4.217337032255955,3.137916568129185,55.59769143675538,55.91898095220407,55.544700250998716,54.56847213606684,109.66558026965112,12.223488417371751,571.9693256916996,564.5573709995884,725.6555081715933,571.9899872007499,570.972417597908,569.0423709766942,567.5376213551355,0.034970698823166835,0.012714287013881886,1
2020-01-23 10:30:00,572.4076222222218,571.6002272727256,568.4346709090919,561.8196364999999,1.404989162529887,3.4400628940750266,1.9190246476252923,7.206711321176044,3.3824431033690416,66.55331403013227,62.298967863835706,60.170682384115814,57.04968174568299,150.825808030694,12.397278136725985,572.3744320158104,564.6885577745783,725.4958227839819,572.7687497605999,571.3994943285247,569.2867077275265,567.6206679088157,0.03543851731100389,0.013092260875535722,1
2020-01-23 10:25:00,572.4538666666663,572.0526409090893,568.4678181818192,561.8891494999998,1.5184411816152306,3.607540653129263,1.9944731807214566,6.307721137953536,3.5445432607805287,62.63612626083702,60.227619604916455,58.750253232912485,56.351612767116535,109.19524400184106,12.428227833913342,572.6851166007904,564.8124932661457,725.3627403382059,573.2496198084799,571.7276339521312,569.496936022972,567.6958164868374,0.03722215011598973,0.01350731661025062,1
2020-01-23 10:20:00,572.581344444444,572.3226772727256,568.5065763636374,561.9500559999998,1.5101082486294217,3.6761696676664997,2.0379344989227093,5.152126322360687,3.613814923094992,57.21144438106892,57.3479156355104,56.771185310014594,55.37479888292159,87.75679250355478,12.44602479785662,572.8693478260869,564.9265830316743,725.2071624519207,573.4339558467839,571.9401266519459,569.6638775935802,567.7602491586102,0.0382898523263675,0.013929269226142793,1
2020-01-23 10:15:00,572.8295666666661,572.5286454545438,568.5833763636374,562.0098079999998,1.4427111273599849,3.689474471987296,2.062616396960152,4.471353095625659,3.630834546160827,54.27651467654438,55.78660358453523,55.697360635099685,54.8436260036254,108.58473413705636,12.60047606672907,572.9825063241107,565.0350427149322,725.0735155618277,573.4719646774271,572.0865504213419,569.8053105366666,567.8185949381266,0.03806527442207219,0.01434136900859695,1
2020-01-23 10:10:00,573.9352666666662,572.8296136363621,568.7446727272737,562.0821644999997,1.6843616890164412,3.967480711492044,2.1769128324510802,8.126083440679963,3.897122827048065,67.74332463098384,63.39095366968337,61.17572094949608,57.792216767587945,141.16007371609706,12.8293624714927,573.4166501976283,565.1780739407651,724.8769701725674,574.2818317419417,572.5591373412252,570.0808815889285,567.9151392671005,0.041022978950766564,0.014820281523131307,1
2020-01-23 10:05:00,574.4280333333329,573.0770681818166,568.9286818181828,562.1530904999998,1.7885943320349043,4.145191142209683,2.2604273360396974,7.088389717761743,4.069706395845969,63.23181602253666,61.007939685171245,59.540759440717665,56.985559816488966,127.63778499769433,13.0530469124967,573.7527881422926,565.3127561456191,724.6525765658787,574.7645053935533,572.9187949637274,570.3171072464668,568.0025030554875,0.044345280130797526,0.015334667986977024,1
2020-01-23 10:00:00,574.9458111111107,573.3493409090893,569.1248636363646,562.2197854999998,1.8390900571116617,4.282721178622637,2.3319270277628448,6.751647986812031,4.204756775276792,62.45386789390836,60.60841874054533,59.26917506915391,56.85273635125586,133.55785739558019,13.333983063973877,574.0556517786562,565.4454046524064,724.3838909461512,575.1236043148426,573.2354214886207,570.5400677019501,568.087652278816,0.04716542783962385,0.015871412933621265,1
2020-01-23 09:55:00,576.0362777777774,573.8290454545439,569.4066054545464,562.3239589999998,2.2931298410650243,4.779089021033769,2.5269414336911495,11.856230653861076,4.678305322942151,76.04987414133488,69.303940835632,65.85636478823544,60.64076373861022,148.93393079456743,13.4226496008473,574.8094916996048,565.6266443068696,723.9189337248711,576.5025834518741,573.9991674461319,570.9500117125947,568.2262676790268,0.054912201769674596,0.016533554538367135,1
2020-01-23 09:50:00,576.0759888888884,573.8576136363621,569.530798181819,562.3768299999998,1.9062296166289343,4.572219988332449,2.4884553207524505,2.79111382331439,4.490471872261878,45.24165276203852,49.88854094446556,51.499142737401165,52.834748429929206,22.868835241359598,13.23509137441086,574.7405920948617,565.7254985438091,723.360541977486,575.8094067614993,573.9154746247291,571.0245362942877,568.2741326772455,0.0549095885036488,0.01711310218956985,1
2020-01-23 09:45:00,574.9265333333329,573.6120999999983,569.51488909091,562.3979734999998,0.9832481915964308,3.8499629054175557,2.269132967471137,-4.570454693303418,3.8151639961103,32.63026811726057,39.892556763376696,43.25262536229218,47.60306403548139,-120.27837467146317,13.094793176794449,574.0172083003952,565.7557578774167,723.0655423508439,573.7552654091994,573.1870594399701,570.8286135694917,568.246914441651,0.04247174732614489,0.0174620697878769,1
2020-01-23 09:40:00,573.240733333333,573.0875954545438,569.4173618181827,562.3944774999999,-0.19285233447294559,2.8129001581648936,1.9295266132616007,-9.815261803642443,2.839393897536638,26.41501350437062,34.43302941990347,38.48446113228762,44.29035904344847,-188.18884506953557,13.060411447882482,572.8336256916997,565.7354662155492,722.7676222785282,571.0043923273595,572.0404368799727,570.4419095134384,568.1648645467093,0.01826075997299892,0.017494893007530266,1
2020-01-23 09:35:00,571.8351111111108,572.5976272727257,569.359720000001,562.4109599999998,-0.9908632613423833,1.9983752996939756,1.6487493522641898,-8.055013635420892,2.068765442265999,30.563297588171004,36.96948031121098,40.37430002136552,45.357658205901565,-152.73049056865008,12.997521882791968,571.8278086956522,565.7287835664334,721.9733572165526,569.1076538618876,571.1256771512794,570.1232948879584,568.0987534566923,-0.008795608074063654,0.01728462438777001,1
